0.042,0.000,0.123,0.009,455.611,21.417
0.105,1.000,-0.047,-0.112,455.611,108.255
0.054,2.000,-0.355,-0.148,372.569,195.074
0.082,3.000,-0.952,-0.122,346.056,265.313
0.015,4.000,-0.342,-0.145,172.192,330.249
0.023,5.000,0.362,-0.040,130.194,360.408
0.041,6.000,0.316,-0.001,32.004,295.325
0.237,7.000,0.565,0.101,23.781,210.603
0.198,8.000,0.062,0.020,22.846,140.846
0.355,9.000,-0.160,0.013,21.020,76.204
0.343,10.000,0.073,-0.130,22.367,45.969
0.265,11.000,0.080,-0.055,22.392,24.404
0.122,12.000,0.072,-0.128,22.392,22.481
0.134,13.000,0.107,-0.080,20.825,22.204
0.049,14.000,0.070,-0.058,22.417,21.799
0.055,15.000,0.009,-0.025,22.417,22.079
0.055,16.000,0.009,-0.023,22.467,22.089
0.056,17.000,-0.002,-0.023,22.467,22.103
0.059,18.000,-0.006,-0.022,22.617,22.118
0.059,19.000,0.005,-0.020,22.467,22.477
