0.082,0.000,0.969,-0.011,75.286,21.651
0.245,1.000,-0.280,0.058,109.948,32.220
0.152,2.000,-0.970,0.222,37.132,49.706
0.087,3.000,0.115,0.080,21.444,53.056
0.096,4.000,-0.322,0.087,19.215,52.826
0.152,5.000,-0.278,0.088,20.954,52.605
-0.055,6.000,0.208,0.003,21.174,41.739
0.034,7.000,0.252,-0.162,20.998,23.984
0.095,8.000,0.098,-0.021,21.376,20.757
0.084,9.000,0.133,-0.027,21.398,20.743
0.023,10.000,0.068,-0.029,21.308,21.180
0.066,11.000,0.014,-0.013,21.308,21.251
0.065,12.000,0.006,-0.012,21.219,21.278
0.065,13.000,0.004,-0.012,20.846,21.322
0.064,14.000,0.006,-0.012,20.158,21.216
0.066,15.000,0.005,-0.011,21.020,20.968
