0.073,0.000,-0.208,0.000,31.280,23.377
0.069,1.000,-0.427,0.131,17.813,24.975
-0.063,2.000,-0.123,0.142,22.172,23.858
-0.145,3.000,0.632,0.126,22.343,23.612
-0.086,4.000,0.080,0.123,21.814,23.407
-0.089,5.000,0.101,0.129,22.367,23.084
-0.088,6.000,0.063,0.005,22.220,21.302
0.041,7.000,-0.027,0.003,20.179,22.183
0.120,8.000,-0.092,0.027,22.123,21.785
0.059,9.000,0.009,0.037,22.075,21.741
0.059,10.000,0.005,0.038,22.196,21.793
0.060,11.000,-0.009,0.037,22.172,21.759
0.059,12.000,-0.007,0.036,22.294,21.749
0.060,13.000,0.007,0.034,22.196,22.172
0.059,14.000,-0.003,0.034,22.318,22.187
